Order ID,Order Date,GrossMargin percentage,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub Category,Sales,Discount,Profit,Invoice_id,PaymentType
CA-2017-152156,8/11/2017,4.761904762,CG-12520,Claire Gute,Consumer,India,Vellore,Tamil Nadu,42420,North,FUR-BO-10001798,Oil and Masala,Masalas,1254,0.12,401.28,IN1-836-1771,Ewallet
CA-2017-152156,8/11/2017,4.761904762,CG-12520,Claire Gute,Consumer,India,Krishnagiri,Tamil Nadu,42420,South,FUR-CH-10000454,Beverages,Health Drinks,749,0.18,149.8,IN7-954-4240,Cash
CA-2017-138688,12/6/2017,4.761904762,DV-13045,Darrin Van Huff,Cosumer,India,Perambalur,Tamil Nadu,90036,West,OFF-LA-10000240,Food Grains,Atta and Flour,2360,0.21,165.2,IN7-954-4241,Credit card
US-2016-108966,11/10/2016,4.761904762,SO-20335,Sean O'Donnell,Consumer,India,Dharmapuri,Tamil Nadu,33311,South,FUR-TA-10000577,Fruits and Veggies,Fresh Vegetables,896,0.25,89.6,IN7-954-4242,Ewallet
US-2016-108966,11/10/2016,4.761904762,SO-20335,Sean O'Donnell,Consumer,India,Ooty,Tamil Nadu,33311,South,OFF-ST-10000760,Food Grains,Organic Staples,2355,0.26,918.45,IN7-954-4243,Ewallet
CA-2015-115812,9/6/2015,4.761904762,BH-11710,Brosina Hoffman,Consumer,India,Dharmapuri,Tamil Nadu,90032,West,FUR-FU-10001487,Food Grains,Organic Staples,2305,0.26,322.7,IN7-954-4244,Ewallet
CA-2015-115812,9/6/2015,4.761904762,BH-11710,Brosina Hoffman,Consumer,India,Trichy,Tamil Nadu,90032,West,OFF-AR-10002833,Fruits and Veggies,Fresh Vegetables,826,0.33,346.92,IN7-954-4245,Ewallet
CA-2015-115812,9/6/2015,4.761904762,BH-11710,Brosina Hoffman,Consumer,India,Ramanadhapuram,Tamil Nadu,90032,West,TEC-PH-10002275,Fruits and Veggies,Fresh Fruits,1847,0.32,147.76,IN7-954-4246,Ewallet
CA-2015-115812,9/6/2015,4.761904762,BH-11710,Brosina Hoffman,Consumer,India,Tirunelveli,Tamil Nadu,90032,West,OFF-BI-10003910,Bakery,Biscuits,791,0.23,181.93,IN7-954-4247,Credit card
CA-2015-115812,9/6/2015,4.761904762,BH-11710,Brosina Hoffman,Consumer,India,Chennai,Tamil Nadu,90032,West,OFF-AP-10002892,Bakery,Cakes,1795,0.27,484.65,IN7-954-4248,Credit card
CA-2015-115812,9/6/2015,4.761904762,BH-11710,Brosina Hoffman,Consumer,India,Karur,Tamil Nadu,90032,West,FUR-TA-10001539,Snacks,Chocolates,1903,0.13,437.69,IN7-954-4249,Ewallet
CA-2015-115812,9/6/2015,4.761904762,BH-11710,Brosina Hoffman,Consumer,India,Namakkal,Tamil Nadu,90032,West,TEC-PH-10002033,"Eggs, Meat and Fish",Eggs,701,0.1,308.44,IN7-954-4250,Cash
CA-2018-114412,15/4/2018,4.761904762,AA-10480,Andrew Allen,Consumer,India,Dindigul,Tamil Nadu,28027,South,OFF-PA-10002365,Snacks,Cookies,1659,0.19,315.21,IN7-954-4251,Ewallet
CA-2017-161389,5/12/2017,4.761904762,IM-15070,Irene Maddox,Consumer,India,Kanyakumari,Tamil Nadu,98103,West,OFF-BI-10003656,Fruits and Veggies,Fresh Vegetables,1277,0.25,63.85,IN7-954-4252,Ewallet
US-2016-118983,22/11/2016,4.761904762,HP-14815,Harold Pawlan,Cosumer,India,Kanyakumari,Tamil Nadu,76106,Central,OFF-AP-10002311,"Eggs, Meat and Fish",Chicken,831,0.22,207.75,IN7-954-4253,Cash
US-2016-118983,22/11/2016,4.761904762,HP-14815,Harold Pawlan,Cosumer,India,Krishnagiri,Tamil Nadu,76106,Central,OFF-BI-10000756,Oil and Masala,Edible Oil and Ghee,1440,0.11,100.8,IN7-954-4254,Cash
CA-2015-105893,11/11/2015,4.761904762,PK-19075,Pete Kriz,Consumer,India,Dharmapuri,Tamil Nadu,53711,Central,OFF-ST-10004186,Bakery,Cakes,1678,0.28,318.82,IN7-954-4255,Credit card
CA-2015-167164,13/5/2015,4.761904762,AG-10270,Alejandro Grove,Consumer,India,Bodi,Tamil Nadu,84084,West,OFF-ST-10000107,Beverages,Health Drinks,1617,0.19,113.19,IN7-954-4256,Credit card
CA-2015-143336,27/8/2015,4.761904762,ZD-21925,Zuschuss Donatelli,Consumer,India,Tenkasi,Tamil Nadu,94109,West,OFF-AR-10003056,"Eggs, Meat and Fish",Mutton,1757,0.35,386.54,IN7-954-4257,Credit card
CA-2015-143336,27/8/2015,4.761904762,ZD-21925,Zuschuss Donatelli,Consumer,India,Kanyakumari,Tamil Nadu,94109,West,TEC-PH-10001949,Beverages,Soft Drinks,692,0.29,159.16,IN7-954-4258,Ewallet
CA-2015-143336,27/8/2015,4.761904762,ZD-21925,Zuschuss Donatelli,Consumer,India,Vellore,Tamil Nadu,94109,West,OFF-BI-10002215,Beverages,Health Drinks,522,0.19,208.8,IN7-954-4259,Ewallet
CA-2017-137330,9/12/2017,4.761904762,KB-16585,Ken Black,Cosumer,India,Karur,Tamil Nadu,68025,Central,OFF-AR-10000246,Food Grains,Dals and Pulses,948,0.13,47.4,IN7-954-4260,Ewallet
CA-2017-137330,9/12/2017,4.761904762,KB-16585,Ken Black,Cosumer,India,Krishnagiri,Tamil Nadu,68025,Central,OFF-AP-10001492,Beverages,Soft Drinks,707,0.34,148.47,IN7-954-4261,Credit card
US-2018-156909,16/7/2018,4.761904762,SF-20065,Sandra Flanagan,Consumer,India,Tenkasi,Tamil Nadu,19140,East,FUR-CH-10002774,Fruits and Veggies,Organic Vegetables,969,0.29,77.52,IN7-954-4262,Ewallet
